task_id,strategy,distance
3eda0437,row_first,3.2199045371757657
3eda0437,col_first,2.577107561104442
4258a5f9,random_k3,2.278109282547656
4258a5f9,color_first,2.642336049288353
4258a5f9,nn_color_first,2.642336049288353
4258a5f9,object_first,2.8356011412994007
4258a5f9,row_first,2.6747135639281985
4258a5f9,col_first,2.9172764852388338
42a15761,random_k3,5.729517263438223
42a15761,color_first,4.087892984503997
42a15761,nn_color_first,4.087892984503997
42a15761,object_first,1.7904851300865476
42a15761,row_first,5.6030475788730065
42a15761,col_first,4.210367323466472
4b6b68e5,random_k3,3.2961429092827967
4b6b68e5,color_first,3.5332083137385766
4b6b68e5,nn_color_first,3.5332083137385766
4b6b68e5,object_first,3.9582335551915118
4b6b68e5,row_first,2.7726988513114033
4b6b68e5,col_first,3.4122915476571642
5168d44c,random_k3,4.101793118831859
5168d44c,color_first,4.189038200514398
5168d44c,nn_color_first,4.189038200514398
5168d44c,object_first,3.8070233767807635
5168d44c,row_first,4.384812156954884
5168d44c,col_first,5.829110466320922
55783887,random_k3,1.266331943872565
55783887,color_first,2.564590937380559
55783887,nn_color_first,2.564590937380559
55783887,object_first,3.4465985259738954
55783887,row_first,2.54131442387184
55783887,col_first,1.9713340438711033
5c0a986e,random_k3,3.9797743422011678
5c0a986e,color_first,4.026832325638264
5c0a986e,nn_color_first,4.026832325638264
5c0a986e,object_first,4.1401544926162135
5c0a986e,row_first,6.502657622468176
5c0a986e,col_first,3.31637770072518
6455b5f5,random_k3,4.50037673958266
6455b5f5,color_first,4.26187477257695
6455b5f5,nn_color_first,4.26187477257695
6455b5f5,object_first,3.3073437892974495
6455b5f5,row_first,3.432803674853027
6455b5f5,col_first,3.6373024811812202
69889d6e,random_k3,3.5083479894367646
69889d6e,color_first,1.5441615496927745
69889d6e,nn_color_first,1.5441615496927745
69889d6e,object_first,1.5137241047402523
69889d6e,row_first,2.277623681075605
69889d6e,col_first,1.537844609681237
6a1e5592,random_k3,2.200059453894886
6a1e5592,color_first,2.6429824489347147
6a1e5592,nn_color_first,2.6429824489347147
6a1e5592,object_first,3.976687150561877
6a1e5592,row_first,3.2176045670989213
6a1e5592,col_first,2.0359073232952536
6d58a25d,random_k3,3.483890215144896
6d58a25d,color_first,3.653247060148362
6d58a25d,nn_color_first,3.653247060148362
6d58a25d,object_first,2.703623212173936
6d58a25d,row_first,4.139790305823655
6d58a25d,col_first,2.7555787913419167
6ea4a07e,random_k3,10.427578009839127
6ea4a07e,color_first,2.9232604125872625
6ea4a07e,nn_color_first,2.9232604125872625
6ea4a07e,object_first,4.609035534655902
6ea4a07e,row_first,6.8404181923774665
6ea4a07e,col_first,5.541035497654227
73251a56,random_k3,3.684963489796339
73251a56,color_first,4.537796863526427
73251a56,nn_color_first,4.537796863526427
73251a56,object_first,2.311486560279719
73251a56,row_first,5.04391525507108
73251a56,col_first,5.659437508890964
73c3b0d8,random_k3,5.84388733560888
73c3b0d8,color_first,4.29140778282389
73c3b0d8,nn_color_first,4.29140778282389
73c3b0d8,object_first,3.8420678645609403
73c3b0d8,row_first,6.740059862512564
73c3b0d8,col_first,3.975596295750332
7447852a,random_k3,3.603141562430478
7447852a,color_first,3.853209793870772
7447852a,nn_color_first,3.853209793870772
7447852a,object_first,3.9552330475646933
7447852a,row_first,4.9630925379001996
7447852a,col_first,4.661859137027396
74dd1130,random_k3,6.920504714205637
74dd1130,color_first,6.084362045986106
74dd1130,nn_color_first,6.084362045986106
74dd1130,object_first,3.242833600666709
74dd1130,row_first,4.99014108238984
74dd1130,col_first,3.175389196908228
7df24a62,random_k3,2.1030276395197047
7df24a62,color_first,2.914040936988316
7df24a62,nn_color_first,2.914040936988316
7df24a62,object_first,1.8295290446398602
7df24a62,row_first,1.5537379338233333
7df24a62,col_first,1.568969606562411
82819916,random_k3,4.919211124253058
82819916,color_first,5.232497238982391
82819916,nn_color_first,5.232497238982391
82819916,object_first,4.127438291048164
82819916,row_first,6.247285836138645
82819916,col_first,4.364745589940198
834ec97d,random_k3,4.119190231509398
834ec97d,color_first,2.9363926177186412
834ec97d,nn_color_first,2.9363926177186412
834ec97d,object_first,3.9800976771422354
834ec97d,row_first,4.9737389220685015
834ec97d,col_first,4.786124809703936
8cb8642d,random_k3,2.6721204231152735
8cb8642d,color_first,1.715640761522317
8cb8642d,nn_color_first,1.715640761522317
8cb8642d,object_first,0.9046686041765455
8cb8642d,row_first,2.7122749000157746
8cb8642d,col_first,2.672925285350324
90f3ed37,random_k3,4.073697610324368
90f3ed37,color_first,4.38308021487575
90f3ed37,nn_color_first,4.38308021487575
90f3ed37,object_first,4.8957323711279175
90f3ed37,row_first,4.756916181105866
90f3ed37,col_first,4.776798885460742
93b581b8,random_k3,2.9588432854476636
93b581b8,color_first,4.0116710812674645
93b581b8,nn_color_first,4.0116710812674645
93b581b8,object_first,2.977318354647306
93b581b8,row_first,4.024529161125213
93b581b8,col_first,4.107400789923641
96a8c0cd,random_k3,2.685935782092506
96a8c0cd,color_first,1.9048256906086107
96a8c0cd,nn_color_first,1.9048256906086107
96a8c0cd,object_first,2.4187341130768387
96a8c0cd,row_first,1.935336776253778
96a8c0cd,col_first,2.603444841174642
9ddd00f0,random_k3,3.5855325050168148
9ddd00f0,color_first,5.735761777874836
9ddd00f0,nn_color_first,5.735761777874836
9ddd00f0,object_first,2.2781071980982497
9ddd00f0,row_first,3.2310018600784374
9ddd00f0,col_first,3.1929680135140135
9dfd6313,random_k3,3.7622322473363203
9dfd6313,color_first,3.8903591387375576
9dfd6313,nn_color_first,3.8903591387375576
9dfd6313,object_first,2.099968006026934
9dfd6313,row_first,2.068928158453686
9dfd6313,col_first,2.522726721666673
a1570a43,random_k3,2.351066120970641
a1570a43,color_first,2.2805451203560394
a1570a43,nn_color_first,2.2805451203560394
a1570a43,object_first,2.0121165887682753
a1570a43,row_first,2.896369261768137
a1570a43,col_first,2.6199060858735943
a3df8b1e,random_k3,5.875415946949744
a3df8b1e,color_first,2.161866755229234
a3df8b1e,nn_color_first,2.161866755229234
a3df8b1e,object_first,3.221608028498516
a3df8b1e,row_first,7.703777907395008
a3df8b1e,col_first,3.2173609427070193
baf41dbf,random_k3,2.8506668057867257
baf41dbf,color_first,2.7873870194901254
baf41dbf,nn_color_first,2.7873870194901254
baf41dbf,object_first,2.8551825384161647
baf41dbf,row_first,1.9196305745393998
baf41dbf,col_first,2.0919505888267045
bcb3040b,random_k3,3.4343013586010334
bcb3040b,color_first,4.077819093643083
bcb3040b,nn_color_first,4.077819093643083
bcb3040b,object_first,4.3237548931941285
bcb3040b,row_first,4.137630195457748
bcb3040b,col_first,4.456780184978998
c0f76784,random_k3,5.323622932118309
c0f76784,color_first,3.8065536931340778
c0f76784,nn_color_first,3.8065536931340778
c0f76784,object_first,4.045980465261329
c0f76784,row_first,4.249252969718062
c0f76784,col_first,4.494111452789801
c444b776,random_k3,2.1001850622468496
c444b776,color_first,2.698571805746099
c444b776,nn_color_first,2.698571805746099
c444b776,object_first,3.055454270393011
c444b776,row_first,1.94011762841208
c444b776,col_first,2.578830393693412
c8f0f002,random_k3,8.292509985590154
c8f0f002,color_first,4.2882850855638175
c8f0f002,nn_color_first,4.2882850855638175
c8f0f002,object_first,3.846393166495325
c8f0f002,row_first,4.292310954485615
c8f0f002,col_first,5.044035673250079
ca8f78db,random_k3,3.7153875503742757
ca8f78db,color_first,4.6001440718195346
ca8f78db,nn_color_first,4.6001440718195346
ca8f78db,object_first,1.8845522746930172
ca8f78db,row_first,7.193839570445115
ca8f78db,col_first,6.464530228526108
ce9e57f2,random_k3,4.6924215188506455
ce9e57f2,color_first,4.3602875018511265
ce9e57f2,nn_color_first,4.3602875018511265
ce9e57f2,object_first,4.235359036565256
ce9e57f2,row_first,4.2151651836955155
ce9e57f2,col_first,4.982498165813423
d364b489,random_k3,2.4182230534343976
d364b489,color_first,2.8410747341291707
d364b489,nn_color_first,2.8410747341291707
d364b489,object_first,3.9309759396792505
d364b489,row_first,2.601112161047877
d364b489,col_first,1.952629237645599
d43fd935,random_k3,4.270634055579732
d43fd935,color_first,3.2905764543225198
d43fd935,nn_color_first,3.2905764543225198
d43fd935,object_first,2.4803710682375875
d43fd935,row_first,3.201522884492301
d43fd935,col_first,2.597153617665842
d511f180,random_k3,4.423913732945209
d511f180,color_first,6.276690025847973
d511f180,nn_color_first,6.276690025847973
d511f180,object_first,3.8768583305954105
d511f180,row_first,3.5004245750948972
d511f180,col_first,3.4322785013164108
d5d6de2d,random_k3,3.979614829748453
d5d6de2d,color_first,4.786893563117884
d5d6de2d,nn_color_first,4.786893563117884
d5d6de2d,object_first,2.95883546963475
d5d6de2d,row_first,2.674752207769803
d5d6de2d,col_first,2.7969833599338116
d9f24cd1,random_k3,2.9647681604778904
d9f24cd1,color_first,3.0896680269178103
d9f24cd1,nn_color_first,3.0896680269178103
d9f24cd1,object_first,2.85993047701048
d9f24cd1,row_first,3.149539073651457
d9f24cd1,col_first,3.579534138277306
